0.0009956237 602.5858 
0.001145639  605.9024 
0.001627154  612.5905 
0.002116968  617.6549 
0.00305995   624.4728 
0.00405153   629.6355 
0.005364433  634.8409 
0.006393141  638.335  
0.007619119  641.8484 
0.0092409    645.3811 
0.01082146   648.9333 
0.01312488   652.505  
0.01564176   656.0963 
0.01897122   659.7075 
0.02221604   663.3385 
0.02694488   666.9895 
0.03211195   670.6606 
0.0389472    674.3519 
0.04641589   678.0635 
0.05531681   681.7955 
0.06709137   685.5481 
0.07995712   689.3213 
0.09697654   693.1154 
0.1155732    696.9302 
0.137736     700.7661 
0.1641489    704.6231 
0.1990892    708.5013 
0.2372674    712.4009 
0.2827669    716.322  
0.3369916    720.2646 
0.4384345    726.2192 
0.5225108    730.2163 
0.6449467    734.2354 
0.8390919    740.3055 
1.017698     744.3802 
1.212857     748.4772 
1.44544      752.5968 
1.722624     756.7391 
2.052962     760.9041 
2.489949     765.0921 
2.718227     767.1948 
3.239487     771.4174 
3.860705     775.6633 
4.682483     779.9325 
5.580417     784.2252 
6.650544     788.5416 
9.445786     797.2457 
11.25715     801.6337 
12.5067      803.8367 
15.98857     810.4823 
19.73504     814.9432 
23.51953     819.4286 
28.02974     823.9387 
33.40485     828.4737 
39.81072     833.0335 
50.89401     839.9205 
56.54327     842.2288 
61.72715     844.5434 
73.56423     849.1917 
80.30857     851.5255 
114.0625     860.9248 
131.2488     865.6633 
153.6975     870.4279 
164.8705     872.82   
186.413      877.624  
199.9643     880.0359 
210.7704     882.4544 
226.0923     884.8796 
242.528      887.3114 
260.1585     889.75   
279.0707     892.1952 
332.5866     899.5712 
350.5596     902.0434 
389.472      907.0083 
432.7036     912.0004 
464.1589     914.5068 
515.6808     919.5402 
543.5482     922.0673 
603.8824     924.6013 
625.4469     927.1423 
670.9137     929.6903 
707.17       932.2453 
732.4229     934.8073 
785.6662     937.3763 
828.1237     939.9524 
857.6959     942.5356 
936.3292     947.7233 
986.9286     950.3278 
1077.41      955.5584 
1176.187     966.1061 
1306.744     976.7702 
1426.546     987.552  
1530.248     995.7164 
1700.107     1009.474 
1855.972     1020.617 
2026.127     1031.883 
2290.868     1049.015 
2457.402     1060.594 
2590.2       1066.432 
2778.494     1078.203 
3086.909     1093.101 
3311.311     1108.204 
3490.255     1120.436 
3810.24      1139.039 
4016.146     1151.612 
4384.345     1170.732 
4703.065     1186.908 
4957.219     1203.307 
5134.24      1213.255 
5411.695     1226.647 
5805.098     1247.013 
6227.098     1267.717 
6679.776     1295.859 
7040.752     1324.624 
7686.246     1365.223 
8390.919     1407.066 
9000.895     1442.253 
9487.305     1470.228 
9826.095     1486.457 
