1E-6         126.9949 
1.450334E-6  134.5854 
1.746634E-6  137.9757 
2.103467E-6  141.4515 
2.653708E-6  145.0149 
3.347886E-6  148.668  
3.848762E-6  151.1544 
4.635057E-6  153.6824 
5.84753E-6   157.5539 
7.377172E-6  161.5229 
8.884313E-6  164.2243 
1.069936E-5  166.9708 
1.551764E-5  172.6025 
2.148375E-5  176.9506 
2.710363E-5  179.91   
3.930931E-5  184.4422 
5.195129E-5  187.5269 
6.865896E-5  190.6632 
9.95784E-5   193.852  
9.95784E-5   234.5892 
0.0001512922 240.4988 
0.0002522521 246.5573 
0.0003037867 248.6106 
0.0004405921 252.7684 
0.000769553  259.136  
0.001169203  263.4699 
0.001695734  267.8763 
0.00245938   272.3564 
0.003736604  276.9115 
0.005419322  281.5427 
0.008233724  286.2513 
0.01038757   288.6351 
0.01506543   293.4624 
0.0218499    298.3704 
0.03319716   303.3605 
0.05043735   308.4341 
0.07315099   313.5925 
0.1111403    318.8372 
0.1688585    324.1695 
0.3089643    332.3358 
0.5922118    340.7078 
0.8997636    346.406  
1.432067     352.1994 
2.175778     358.0898 
3.155605     364.0787 
5.261395     373.2503 
8.374054     382.653  
11.06717     389.0527 
14.62641     395.5594 
18.45249     402.1749 
25.54697     412.3063 
35.36909     422.6928 
46.74388     433.341  
67.79422     447.9571 
81.64444     455.4489 
118.4117     474.7313 
107.9015     470.8106 
142.6029     486.6905 
188.4644     503.1059 
260.9238     528.773  
344.8377     555.7496 
435.0429     579.2785 
574.9539     613.9018 
692.4158     645.2214 
